-1.040	1.247
-1.057	1.230
-1.073	1.211
-1.090	1.191
-1.105	1.170
-1.121	1.147
-1.136	1.123
-1.151	1.098
-1.165	1.071
-1.179	1.042
-1.192	1.012
-1.205	0.981
-1.217	0.948
-1.228	0.914
-1.239	0.878
-1.249	0.841
-1.258	0.802
-1.266	0.762
-1.273	0.720
-1.280	0.676
-1.285	0.631
-1.289	0.584
-1.291	0.536
-1.292	0.486
-1.292	0.434
-1.290	0.381
-1.286	0.327
-1.280	0.270
-1.272	0.213
-1.262	0.154
-1.249	0.094
-1.234	0.032
-1.216	-0.030
-1.194	-0.094
-1.170	-0.158
-1.141	-0.223
-1.109	-0.287
-1.074	-0.352
-1.034	-0.417
-0.990	-0.481
-0.941	-0.543
-0.888	-0.604
-0.831	-0.663
-0.769	-0.720
-0.703	-0.773
-0.632	-0.823
-0.558	-0.868
-0.481	-0.909
-0.400	-0.945
-0.316	-0.976
-0.231	-1.001
-0.144	-1.021
-0.056	-1.034
0.032	-1.042
0.120	-1.044
0.207	-1.041
0.293	-1.032
0.377	-1.019
0.459	-1.000
0.539	-0.978
0.616	-0.952
0.690	-0.922
0.761	-0.889
0.830	-0.854
0.895	-0.817
0.957	-0.777
1.016	-0.737
1.072	-0.695
1.125	-0.652
1.175	-0.608
1.223	-0.564
1.268	-0.520
1.310	-0.476
1.350	-0.432
1.388	-0.388
1.424	-0.344
1.458	-0.301
1.489	-0.258
1.519	-0.216
1.547	-0.175
1.574	-0.135
1.599	-0.095
1.622	-0.057
1.644	-0.019
1.665	0.018
1.685	0.054
1.703	0.089
1.720	0.122
1.736	0.155
1.751	0.187
1.765	0.217
1.778	0.247
1.790	0.275
1.802	0.303
1.812	0.329
1.822	0.354
1.831	0.378
1.839	0.401
1.847	0.422
1.853	0.443
1.859	0.462
1.865	0.481
1.870	0.498
1.874	0.514
1.878	0.529
1.881	0.543
1.883	0.555
1.885	0.567
1.886	0.577
1.887	0.586
1.887	0.594
1.887	0.601
1.886	0.607
1.885	0.611
1.883	0.614
1.881	0.617
1.878	0.618
1.874	0.618
1.870	0.617
1.866	0.614
1.861	0.611
1.855	0.606
1.849	0.600
1.843	0.593
1.835	0.585
1.828	0.576
1.819	0.565
1.810	0.553
1.801	0.541
1.790	0.526
1.780	0.511
1.768	0.495
1.756	0.477
1.743	0.459
1.730	0.439
1.715	0.418
1.700	0.396
1.684	0.372
1.668	0.347
1.650	0.322
1.632	0.295
1.612	0.267
1.592	0.237
1.570	0.207
1.547	0.175
1.523	0.143
1.498	0.109
1.472	0.074
1.443	0.038
1.414	0.001
1.382	-0.037
1.349	-0.076
1.314	-0.116
1.276	-0.157
1.236	-0.198
1.194	-0.241
1.149	-0.283
1.101	-0.326
